los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,89.4337560564104,POINT (-87.63272469999998 41.72010529999999),5ef53c9157540fd7,9540,S HARVARD AVE,,,,,,
1,89.41543342343348,POINT (-87.6327225 41.7200176),10220072787e6430,9540,S HARVARD AVE,,,,,,
1,79.08986499725239,POINT (-87.63283540000002 41.72076400000001),401ec1d09375e6b4,9518,S HARVARD AVE,,,,,,
1,89.4566248244825,POINT (-87.63272899999998 41.720272400000006),e81d1bd6276eff95,9534,S HARVARD AVE,,,,,,
1,89.443676607265,POINT (-87.6327269 41.7201902),1d4bc59ad4c36219,9536,S HARVARD AVE,,,,,,
0,89.39621089172347,POINT (-87.6327203 41.7199296),97ce4fe8b4889994,9542,S HARVARD AVE,,,,,,
1,92.96916211208195,POINT (-87.6327188 41.7210646),4c61f773a70a89e0,9512,S HARVARD AVE,,,,,,
1,51.10208030485372,POINT (-87.6330945 41.721047000000006),d5b9f8d7f35165aa,9514,S HARVARD AVE,,,,,,
1,40.634192203579865,POINT (-87.6331941 41.721252699999994),547ad23f98adcfc3,353,W 95TH ST,,,,,,
0,51.17852615087657,POINT (-87.63310049999998 41.72129499999999),0fa1d97c61d7b53d,351,W 95TH ST,,,,,,
1,84.0546383669245,POINT (-87.63274879999999 41.7192066),1d85a8a284afda67,9616,S HARVARD AVE,,,,,,
1,84.02988442144093,POINT (-87.6327471 41.719135299999984),5c0f379bbd16cc4d,9618,S HARVARD AVE,,,,,,
0,84.0159603275716,POINT (-87.6327453 41.719063899999995),bb6b33dd582a1b2a,9622,S HARVARD AVE,,,,,,
0,84.00233655329852,POINT (-87.63274349999999 41.7189926),d055aba78fb941d8,9624,S HARVARD AVE,,,,,,
0,83.98871301453214,POINT (-87.6327417 41.7189213),f3fb3e2391cdf6e9,9626,S HARVARD AVE,,,,,,
0,65.59807531600237,POINT (-87.6328885 41.71823739999999),710a53601ec59838,346,W 97TH ST,,,,,,
1,85.93931390903646,POINT (-87.63422649999998 41.71736359999999),86cf9d8e04a271a4,9716,S EGGLESTON AVE,,,,,,
1,85.96951698570338,POINT (-87.63422500000001 41.7172979),00ef33a43f714043,9720,S EGGLESTON AVE,,,,,,
1,85.73274171421528,POINT (-87.63423719999999 41.7178293),61008f46584067f4,9700,S EGGLESTON AVE,,,,,,
1,86.13166177895148,POINT (-87.6342165 41.7169286),7739c02461e5a2a0,9732,S EGGLESTON AVE,,,,,,
1,85.83781606939571,POINT (-87.6342318 41.717594000000005),c0184f137dc11311,9708,S EGGLESTON AVE,,,,,,
1,85.78259407691353,POINT (-87.634234 41.717694),d1c979aa13224cd0,9704,S EGGLESTON AVE,,,,,,
1,86.1618364757719,POINT (-87.6342149 41.716859199999995),82a79b25ddca3fdd,9732,S EGGLESTON AVE,,,,,,
1,86.18780994749616,POINT (-87.6342133 41.7167912),53cbfeac45d23a3e,9738,S EGGLESTON AVE,,,,,,
0,86.21408327621006,POINT (-87.63421170000001 41.716723099999996),0360b486f7ff22a0,9740,S EGGLESTON AVE,,,,,,
1,86.03199604895443,POINT (-87.63422189999999 41.7171621),45b01350750d2121,400,W 97TH PL,,,,,,
0,85.87830700556971,POINT (-87.6342295 41.71749520000001),185123e13cb841c9,9712,S EGGLESTON AVE,,,,,,
0,93.48030234645178,POINT (-87.63439059999999 41.72093689999999),be1e2cb602b59af0,408,W 95TH PL,,,,,,
1,86.25088593939826,POINT (-87.63421019999998 41.7166552),bc2467a6e0ca3481,9744,S EGGLESTON AVE,,,,,,
0,86.30195826756442,POINT (-87.63420709999998 41.7165232),bf753a58539c9acc,9746,S EGGLESTON AVE,,,,,,
1,86.34028776291926,POINT (-87.6342057 41.7164585),d5701ba56b1ca374,9750,S EGGLESTON AVE,,,,,,
0,94.28148992986381,POINT (-87.6326608 41.7193508),a592ddd3ae8dbeb0,9612,S HARVARD AVE,,,,,,
0,84.0682628555415,POINT (-87.63275059999998 41.7192779),addb5a70b91761ae,9614,S HARVARD AVE,,,,,,
1,79.06426519520957,POINT (-87.63283119999998 41.7205997),b139b6279538b819,9524,S HARVARD AVE,,,,,,
1,79.05131572162497,POINT (-87.63282909999998 41.72051749999999),8bcc70fb0541f042,9526,S HARVARD AVE,,,,,,
1,79.03866665006308,POINT (-87.632827 41.72043539999999),40abec0fda7bd0ed,9528,S HARVARD AVE,,,,,,
1,79.01458811294694,POINT (-87.63282499999998 41.72035319999999),ebb4b7a0e0fd7eb6,9530,S HARVARD AVE,,,,,,
1,44.22195881380868,POINT (-87.63313079999999 41.7201006),19f696b823f487f4,9532,S HARVARD AVE,,,,,,
1,85.32668872483113,POINT (-87.6342583 41.71874720000001),b3f140bc9576a45f,9632,S EGGLESTON AVE,,,,,,
1,85.35629588387391,POINT (-87.6342568 41.71868169999999),cdda35cec8da6437,9634,S EGGLESTON AVE,,,,,,
1,85.39559151727472,POINT (-87.63425449999998 41.7185833),008322465dc8b51a,9640,S EGGLESTON AVE,,,,,,
1,85.4351867815468,POINT (-87.63425219999999 41.71848479999999),714085a4a140501f,9644,S EGGLESTON AVE,,,,,,
