address,city,state,zip5,coordinates,los_score,visibility_percentage,distance_to_railway
460 Hay Street,Fayetteville,NC,28301.0,"35.055959, -78.884313",1,100.0,0.0
420 Hillsboro Street,Fayetteville,NC,28301.0,"35.060176, -78.883019",1,100.0,0.0
834 Ramsey Street,Fayetteville,NC,28301.0,"35.066054, -78.878209",1,100.0,0.0
502-598 Franklin Street,Fayetteville,NC,28301.0,"35.053466, -78.886188",1,100.0,0.0
505 Franklin Street,Fayetteville,NC,28301.0,"35.053776, -78.886327",1,100.0,0.0
505 Franklin Street,Fayetteville,NC,28301.0,"35.053625, -78.886265",1,100.0,0.0
472 Hay Street,Fayetteville,NC,28301.0,"35.055001, -78.884803",1,100.0,0.0
472 Hay Street,Fayetteville,NC,28301.0,"35.055036, -78.884901",1,100.0,0.0
100 Bragg Boulevard,Fayetteville,NC,,"35.056232, -78.886182",1,100.0,0.0
1045 Rex Road,Rex,NC,28378.0,"34.854584, -79.048418",1,100.0,0.0
401 Church Street,Fayetteville,NC,,"34.902021, -79.013992",1,100.0,0.0
67 David Parnell Street,Parkton,NC,28371.0,"34.902627, -79.010753",1,100.0,0.0
28 David Parnell Street,Parkton,NC,28371.0,"34.903397, -79.012216",1,100.0,0.0
